collection_no	occurrences.genus_reso	occurrences.genus_name	original.genus_reso	original.genus_name	collections.reference_no	collections.country	collections.state	collections.county	collections.latdec	collections.lngdec	collections.period	collections.10_my_bin	collections.ma_max	collections.ma_min
13285		Efraasia		Sellosaurus	4409	Germany	Nordwürttemberg	Ochsenbach	49.338056	8.738333	Triassic	"Triassic 4"	216.500	203.600
13286	"n. gen."	Tethyshadros		Hadrosauridae	23419	Italy	"Friulia-Venezia Giulia"	Trieste	45.778611	13.588611	Cretaceous		83.500	65.000
13301		Hesperornis			4419	"United States"	Kansas	"Wallace County"	39	-101	Cretaceous		89.300	70.600
13301		Ichthyornis			4419	"United States"	Kansas	"Wallace County"	39	-101	Cretaceous		89.300	70.600
13305	"n. gen."	Alvarezsaurus			4423	Argentina	Neuquén		-38.953889	-68.234167	Cretaceous	"Cretaceous 6"	85.800	83.500
13305	"n. gen."	Patagopteryx			4423	Argentina	Neuquén		-38.953889	-68.234167	Cretaceous	"Cretaceous 6"	85.800	83.500
13305	"n. gen."	Neuquenornis			4423	Argentina	Neuquén		-38.953889	-68.234167	Cretaceous	"Cretaceous 6"	85.800	83.500
13306	"n. gen."	Taponichnus			6049	Argentina	Salta	"San Carlos"	-25.5	-66	Cretaceous	"Cretaceous 8"	70.600	65.000
13306	"n. gen."	Yacoraitichnus			6049	Argentina	Salta	"San Carlos"	-25.5	-66	Cretaceous	"Cretaceous 8"	70.600	65.000
13306	"n. gen."	Salfitichnus			6049	Argentina	Salta	"San Carlos"	-25.5	-66	Cretaceous	"Cretaceous 8"	70.600	65.000
13306	"n. gen."	Telosichnus			6049	Argentina	Salta	"San Carlos"	-25.5	-66	Cretaceous	"Cretaceous 8"	70.600	65.000
13307		Martinavis			11730	Argentina	Salta	Candelaria	-26.066667	-65.366667	Cretaceous	"Cretaceous 8"	70.600	65.000
13307	"n. gen."	Elbretornis			11730	Argentina	Salta	Candelaria	-26.066667	-65.366667	Cretaceous	"Cretaceous 8"	70.600	65.000
13307	"n. gen."	Soroavisaurus			11730	Argentina	Salta	Candelaria	-26.066667	-65.366667	Cretaceous	"Cretaceous 8"	70.600	65.000
13307	"n. gen."	Enantiornis			11730	Argentina	Salta	Candelaria	-26.066667	-65.366667	Cretaceous	"Cretaceous 8"	70.600	65.000
13307	"n. gen."	Saltasaurus			11730	Argentina	Salta	Candelaria	-26.066667	-65.366667	Cretaceous	"Cretaceous 8"	70.600	65.000
13307		Enantiornis			11730	Argentina	Salta	Candelaria	-26.066667	-65.366667	Cretaceous	"Cretaceous 8"	70.600	65.000
13307		Martinavis			11730	Argentina	Salta	Candelaria	-26.066667	-65.366667	Cretaceous	"Cretaceous 8"	70.600	65.000
13307		Martinavis			11730	Argentina	Salta	Candelaria	-26.066667	-65.366667	Cretaceous	"Cretaceous 8"	70.600	65.000
